454;999;454;999;471;957;482;1260;487;1037;522;948;539;977;
583;1009;583;1009;600;965;610;1263;616;1029;651;965;668;974;
711;1012;711;1012;728;960;739;1266;744;1051;779;948;796;976;
842;1009;842;1009;859;963;870;1264;875;1055;910;937;927;984;
979;1007;979;1007;996;962;1007;1260;1012;1068;1047;936;1064;979;
1115;998;1115;998;1132;956;1143;1280;1148;1044;1183;942;1200;972;
1247;1002;1247;1002;1265;956;1275;1268;1280;1031;1315;944;1332;973;
1373;1008;1373;1008;1390;966;1401;1274;1406;1050;1441;962;1458;989;
1498;1017;1498;1017;1514;975;1526;1288;1531;1055;1566;968;1583;989;
1623;1011;1623;1011;1640;969;1651;1276;1656;1058;1691;962;1708;984;
1753;1009;1753;1009;1770;969;1782;1264;1786;1051;1821;952;1838;991;
1889;1016;1889;1016;1906;966;1917;1268;1922;1077;1957;942;1974;989;
2022;1012;2022;1012;2039;962;2051;1270;2055;1075;2090;932;2107;980;
2157;997;2157;997;2174;950;2185;1259;2190;1043;2225;936;2242;968;
2289;1004;2289;1004;2307;962;2318;1253;2322;1063;2357;935;2374;975;
2422;1008;2422;1008;2439;962;2450;1265;2455;1046;2490;951;2507;967;
2549;997;2549;997;2566;955;2577;1256;2582;1034;2617;943;2634;979;
2676;1004;2676;1004;2693;966;2703;1259;2709;1015;2744;967;2761;976;
2750;995;2750;995;2752;995;2781;1378;2798;882;2818;911;2835;985;
2933;1005;2933;1005;2950;964;2961;1267;2966;1046;3001;960;3018;1002;
3069;1004;3069;1004;3087;960;3097;1255;3102;1046;3137;928;3154;973;
3206;1007;3206;1007;3224;958;3234;1266;3239;1059;3274;929;3291;984;
3340;1001;3340;1001;3357;955;3368;1266;3373;1043;3408;943;3425;977;
3470;996;3470;996;3487;955;3498;1251;3503;1011;3538;954;3555;971;
3595;1001;3595;1001;3612;962;3623;1266;3628;1037;3663;951;3680;971;
3724;999;3724;999;3742;957;3753;1267;3757;1058;3792;941;3809;976;
3855;1015;3855;1015;3872;966;3883;1272;3888;1050;3923;947;3940;986;
3931;995;3931;995;3933;999;3962;1378;3995;895;3999;902;4016;985;
4117;999;4117;999;4135;958;4145;1269;4150;1049;4185;955;4202;994;
4253;991;4253;991;4270;945;4281;1252;4286;1054;4321;921;4338;970;
4387;1005;4387;1005;4403;961;4414;1255;4420;1034;4455;949;4472;987;
4518;1018;4518;1018;4535;978;4546;1278;4551;1077;4586;960;4603;986;
4646;1006;4646;1006;4664;966;4674;1279;4679;1074;4714;965;4731;989;
4772;1012;4772;1012;4789;970;4800;1277;4805;1041;4841;946;4858;961;
4895;998;4895;998;4912;964;4922;1256;4928;1018;4963;962;4980;985;
5024;1020;5024;1020;5042;962;5052;1272;5057;1069;5092;941;5109;980;
5162;1002;5162;1002;5180;956;5190;1270;5195;1035;5230;938;5247;966;
5294;999;5294;999;5310;958;5322;1263;5327;1062;5362;942;5379;980;
5425;1012;5425;1012;5442;970;5454;1277;5458;1075;5493;958;5510;995;
5556;1012;5556;1012;5573;972;5584;1278;5589;1050;5624;956;5641;985;
5684;1007;5684;1007;5701;979;5712;1287;5717;1044;5752;978;5769;989;
5809;1018;5809;1018;5826;980;5838;1286;5842;1076;5877;979;5894;991;
5937;1028;5937;1028;5954;984;5965;1296;5970;1081;6005;965;6022;999;
6065;1028;6065;1028;6082;986;6093;1292;6098;1069;6133;969;6150;1004;
6196;1022;6196;1022;6213;986;6224;1278;6229;1082;6264;974;6281;1008;
6282;1008;6282;1008;6284;1003;6313;1417;6334;910;6351;916;6368;990;
6465;1041;6465;1041;6482;992;6494;1305;6498;1100;6533;969;6550;1036;
6598;1031;6598;1031;6615;986;6626;1293;6631;1066;6666;962;6683;989;
6725;1016;6725;1016;6743;976;6753;1286;6758;1060;6793;973;6810;985;
6849;1014;6849;1014;6867;967;6877;1266;6882;1066;6917;961;6934;977;
