411;955;411;955;426;934;438;1361;444;957;479;1013;496;967;
563;968;563;968;580;937;590;1378;596;959;621;956;672;968;
713;975;713;975;730;938;741;1388;746;939;773;958;793;1023;
869;962;869;962;883;938;898;1384;902;922;937;983;954;1033;
1036;967;1036;967;1050;939;1064;1378;1069;933;1104;1000;1121;1001;
1194;982;1194;982;1211;945;1222;1389;1227;959;1262;1026;1279;983;
1344;979;1344;979;1361;944;1372;1381;1377;933;1406;969;1453;979;
1494;983;1494;983;1509;953;1522;1392;1527;943;1562;1016;1579;1012;
1646;982;1646;982;1663;949;1674;1375;1679;956;1714;1005;1731;1002;
1796;972;1796;972;1811;943;1824;1380;1829;955;1864;997;1881;994;
1950;962;1950;962;1964;936;1977;1340;1983;940;2018;987;2035;999;
2113;958;2113;958;2128;931;2142;1365;2146;915;2181;971;2198;1019;
2277;953;2277;953;2292;929;2305;1374;2310;915;2345;986;2362;977;
2442;952;2442;952;2459;935;2469;1371;2475;961;2500;963;2522;1012;
2600;980;2600;980;2617;963;2628;1395;2633;985;2668;1036;2685;990;
2762;955;2762;955;2776;933;2790;1353;2795;909;2830;981;2847;989;
2918;941;2918;941;2935;910;2946;1348;2951;899;2986;962;3003;980;
3081;927;3081;927;3095;902;3108;1344;3114;912;3149;963;3166;977;
3249;943;3249;943;3254;923;3277;1357;3282;911;3317;974;3334;1002;
3409;955;3409;955;3423;936;3437;1388;3442;946;3477;1005;3494;992;
3562;969;3562;969;3579;942;3589;1381;3595;961;3622;962;3671;980;
3713;981;3713;981;3730;952;3741;1382;3746;958;3781;1031;3798;981;
3862;980;3862;980;3879;954;3891;1404;3895;933;3930;1023;3947;997;
4021;977;4021;977;4038;953;4049;1409;4054;939;4089;1022;4106;1001;
4181;974;4181;974;4196;946;4209;1385;4214;948;4249;1007;4266;1010;
4342;974;4342;974;4356;955;4370;1370;4375;959;4410;1007;4427;1027;
4502;991;4502;991;4519;955;4531;1407;4535;942;4563;981;4611;989;
4653;991;4653;991;4670;955;4681;1409;4686;980;4712;979;4762;982;
4804;984;4804;984;4819;954;4832;1397;4837;954;4872;1023;4889;1005;
4954;987;4954;987;4969;957;4982;1399;4987;956;5022;1025;5039;1013;
5112;983;5112;983;5127;962;5140;1409;5145;960;5180;1007;5197;1044;
5271;982;5271;982;5288;953;5299;1401;5304;954;5339;1000;5356;1019;
5427;981;5427;981;5444;951;5455;1359;5460;929;5495;1004;5512;1011;
5584;982;5584;982;5599;955;5612;1392;5617;938;5652;1013;5669;1012;
5733;989;5733;989;5750;956;5760;1391;5766;975;5792;971;5842;980;
5874;989;5874;989;5891;954;5902;1412;5907;958;5942;1035;5959;977;
6021;982;6021;982;6038;956;6049;1374;6054;972;6089;1027;6106;985;
6170;981;6170;981;6187;953;6198;1391;6203;969;6238;1015;6255;1010;
6322;977;6322;977;6337;948;6349;1392;6355;956;6390;1020;6407;997;
6473;982;6473;982;6490;949;6501;1387;6506;970;6541;1019;6558;1004;
6622;988;6622;988;6639;965;6650;1386;6655;946;6690;1016;6707;1016;
6771;993;6771;993;6788;955;6800;1406;6804;940;6831;968;6851;1019;
6915;983;6915;983;6932;944;6943;1416;6948;950;6972;952;7024;966;
7057;974;7057;974;7074;938;7085;1396;7090;949;7116;957;7166;973;
7203;978;7203;978;7220;945;7231;1368;7236;958;7271;1013;7288;993;
7356;978;7356;978;7373;946;7385;1410;7393;952;7420;962;7438;1054;
7513;982;7513;982;7528;944;7541;1414;7546;947;7581;1008;7598;1004;
7664;977;7664;977;7681;942;7692;1377;7697;956;7732;1006;7749;988;
7814;976;7814;976;7831;946;7842;1391;7847;956;7882;1011;7899;993;
7961;987;7961;987;7978;946;7989;1417;7994;970;8019;961;8070;982;
